"(PageID, QuestionID, ChoiceID)",Option text
"('53000674', '185050072', '1340367935')",Diariamente
"('53000674', '185050072', '1340367936')",Semanalmente
"('53000674', '185050072', '1340367937')",Mensualmente
"('53000674', '185050072', '1340367938')",Ocasionalmente
"('53000674', '185050072', '1340367939')",Nunca
"('53000674', '185050073', '1340367940')",Preferencia de sabor
"('53000674', '185050073', '1340367941')",Salud y bienestar
"('53000674', '185050073', '1340367942')",Conducir después
"('53000674', '185050073', '1340367943')",Recomendación de amigos/familiares
"('53000674', '185050073', '1340367944')",Otra(s)
"('53000674', '185050074', '1340367945')",Muy satisfecho
"('53000674', '185050074', '1340367946')",Satisfecho
"('53000674', '185050074', '1340367947')",Neutral
"('53000674', '185050074', '1340367948')",Insatisfecho
"('53000674', '185050074', '1340367949')",Muy insatisfecho
"('53000674', '185050075', None)",¿Cuál es tu bebida sin alcohol favorita?
"('53013544', '185050076', None)","¿Estarías interesado en probar un nuevo producto de bebida sin alcohol? Si es así, ¿qué te gustaría ver en ese producto?"
"('53013544', '185050077', None)","Por favor, indica tu edad:"
"('53013544', '185050078', '1340367950')","Menos de $25,000"
"('53013544', '185050078', '1340367951')","$25,000 - $50,000"
"('53013544', '185050078', '1340367952')","$50,000 - $75,000"
"('53013544', '185050078', '1340367953')","Más de $75,000"
