ResponseID,P53000674.Q185050072_1340367935,P53000674.Q185050072_1340367937,P53000674.Q185050072_1340367939,P53000674.Q185050073_1340367940,P53000674.Q185050073_1340367941,P53000674.Q185050073_1340367942,P53000674.Q185050073_1340367943,P53000674.Q185050073_1340367944,P53000674.Q185050074_1340367945,P53000674.Q185050074_1340367946,P53000674.Q185050074_1340367947,P53000674.Q185050075,P53013544.Q185050076,P53013544.Q185050077,P53013544.Q185050078_1340367951,P53013544.Q185050078_1340367952,P53013544.Q185050078_1340367953,P53013544.Q196590868_1416382021,P53013544.Q196590868_1416382023,P53013544.Q196591377_1416385338,P53013544.Q196591377_1416385339,P53013544.Q196591377_1416385340,P53013544.Q196591603_1416386770,P53013544.Q196591603_1416387063,P53013544.Q196591603_1416387064
114611755168,0,0,1,0,0,1,0,0,0,0,1,agua,no,,0,0,1,0,0,,,,,,
114611772749,0,0,1,0,0,1,0,0,0,0,1,schweppes,si,35,0,0,1,0,0,,,,,,
114611763020,0,0,1,0,0,1,0,0,0,0,1,paso de los toros,,,0,0,1,0,0,,,,,,
114630488327,0,0,1,0,0,1,0,0,0,0,1,coca cola,MAGIA,15,0,0,1,0,0,,,,,,
114577634260,0,0,1,0,0,1,0,0,0,0,1,aquarius,jamas,,0,0,1,0,0,,,,,,
114577961073,0,0,1,0,0,1,0,0,0,0,1,miju,,22,0,0,1,0,0,,,,,,
114577889924,0,0,1,0,0,1,0,0,0,0,1,rinde 2,MAGIA,70,0,0,1,0,0,,,,,,
114577635205,0,0,1,0,0,1,0,0,0,0,1,fanta,,,0,0,1,0,0,,,,,,
114577635884,0,0,1,0,0,1,0,0,0,0,1,mocoreta,innovacion,12,0,0,1,0,0,,,,,,
114611327269,0,0,1,0,0,1,0,0,0,0,1,term0,,,0,0,1,0,0,,,,,,
114611328387,0,0,1,0,0,1,0,0,0,0,1,,creatividad,,0,0,1,0,0,,,,,,
114630506186,0,0,1,0,0,1,0,0,0,0,1,agua,no,80,0,0,1,0,0,,,,,,
114630513581,0,1,0,0,0,1,1,0,0,1,0,,MUCHO SABOR,99,0,1,0,0,0,,,,,,
114631115231,1,0,0,1,1,1,1,1,1,0,0,goliat de naranja,palta,12,1,0,0,1,1,goliat,miller,la golia,06/26/2024 4:4 AM,06/30/2024 22:49 PM,08/09/2024 21:30 PM
114631118168,0,0,0,0,0,0,0,0,0,0,0,"hola?, no se ",no me interesa,,0,1,0,0,0,,,,,,
