Choice ID,Option
1340367935,Diariamente
1340367936,Semanalmente
1340367937,Mensualmente
1340367938,Ocasionalmente
1340367939,Nunca
1340367940,Preferencia de sabor
1340367941,Salud y bienestar
1340367942,Conducir después
1340367943,Recomendación de amigos/familiares
1340367944,Otra(s)
1340367945,Muy satisfecho
1340367946,Satisfecho
1340367947,Neutral
1340367948,Insatisfecho
1340367949,Muy insatisfecho
185050075,¿Cuál es tu bebida sin alcohol favorita?
185050076,"¿Estarías interesado en probar un nuevo producto de bebida sin alcohol? Si es así, ¿qué te gustaría ver en ese producto?"
185050077,"Por favor, indica tu edad:"
1340367950,"Menos de $25,000"
1340367951,"$25,000 - $50,000"
1340367952,"$50,000 - $75,000"
1340367953,"Más de $75,000"
